_id,date,gender,race,agebook,agecurr
188,2018-01-01,M,B,20,20
189,2018-01-01,M,B,41,42
190,2018-01-01,M,B,39,40
191,2018-01-01,M,B,27,28
192,2018-01-01,M,B,48,49
193,2018-01-01,M,W,23,23
194,2018-01-01,M,B,31,31
195,2018-01-01,M,W,23,24
196,2018-01-01,M,W,35,35
197,2018-01-01,M,W,33,33
198,2018-01-01,M,B,23,24
199,2018-01-01,M,B,26,26
200,2018-01-01,M,B,29,30
201,2018-01-01,M,B,24,24
202,2018-01-01,M,B,28,29
203,2018-01-01,M,B,31,32
204,2018-01-01,M,B,25,25
205,2018-01-01,M,B,48,49
206,2018-01-01,M,W,33,34
207,2018-01-01,M,B,27,27
208,2018-01-01,M,B,31,32
209,2018-01-01,M,U,25,25
210,2018-01-01,M,B,58,58
211,2018-01-01,M,B,60,60
212,2018-01-01,M,W,26,26
213,2018-01-01,M,W,37,37
214,2018-01-01,M,W,50,50
215,2018-01-01,M,W,35,36
216,2018-01-01,M,B,50,50
217,2018-01-01,M,U,29,29
218,2018-01-01,M,W,57,57
219,2018-01-01,M,B,20,20
220,2018-01-01,M,W,28,28
221,2018-01-01,M,W,48,48
222,2018-01-01,M,W,18,18
223,2018-01-01,M,B,32,32
224,2018-01-01,M,B,60,60
225,2018-01-01,M,,27,27
226,2018-01-01,M,B,28,28
227,2018-01-01,M,B,25,25
228,2018-01-01,M,B,45,46
229,2018-01-01,M,B,28,28
230,2018-01-01,M,B,19,19
231,2018-01-01,M,W,35,35
232,2018-01-01,M,B,57,57
233,2018-01-01,M,W,50,51
234,2018-01-01,M,W,22,22
235,2018-01-01,M,B,26,26
236,2018-01-01,M,B,34,34
237,2018-01-01,M,B,20,20
238,2018-01-01,M,W,18,19
239,2018-01-01,M,B,35,36
240,2018-01-01,M,B,66,66
241,2018-01-01,M,B,32,32
242,2018-01-01,M,B,29,29
243,2018-01-01,M,W,25,25
244,2018-01-01,M,W,36,36
245,2018-01-01,M,B,47,47
246,2018-01-01,M,B,64,64
247,2018-01-01,M,W,27,27
248,2018-01-01,M,B,20,20
249,2018-01-01,M,B,20,20
250,2018-01-01,M,B,28,28
251,2018-01-01,M,W,30,30
252,2018-01-01,M,W,67,67
253,2018-01-01,M,B,47,47
254,2018-01-01,M,W,46,46
255,2018-01-01,M,B,18,18
256,2018-01-01,M,H,25,25
257,2018-01-01,M,W,35,35
258,2018-01-01,M,W,34,34
259,2018-01-01,M,W,41,41
260,2018-01-01,M,B,31,31
261,2018-01-01,M,B,38,38
262,2018-01-01,M,W,26,26
263,2018-01-01,M,B,40,40
264,2018-01-01,M,B,32,32
265,2018-01-01,M,B,33,33
266,2018-01-01,M,W,33,33
267,2018-01-01,M,B,33,33
268,2018-01-01,M,B,22,22
269,2018-01-01,M,W,21,21
270,2018-01-01,M,B,27,30
271,2018-01-01,M,W,25,26
272,2018-01-01,M,W,64,66
273,2018-01-01,M,W,29,30
274,2018-01-01,M,B,19,20
275,2018-01-01,M,B,26,27
276,2018-01-01,M,B,43,44
277,2018-01-01,M,B,35,36
278,2018-01-01,M,B,35,36
279,2018-01-01,M,B,28,29
280,2018-01-01,M,B,23,24
281,2018-01-01,M,B,18,19
282,2018-01-01,M,W,25,25
283,2018-01-01,M,W,41,42
284,2018-01-01,M,B,35,36
285,2018-01-01,M,B,24,25
286,2018-01-01,M,B,27,27
287,2018-01-01,M,B,21,22
288,2018-01-01,M,W,44,44
289,2018-01-01,M,x,29,29
290,2018-01-01,M,B,41,41
291,2018-01-01,M,W,18,19
292,2018-01-01,M,B,23,23
293,2018-01-01,M,W,40,41
294,2018-01-01,M,B,50,51
295,2018-01-01,M,B,26,26
296,2018-01-01,M,H,38,39
297,2018-01-01,M,W,33,33
298,2018-01-01,M,W,58,58
299,2018-01-01,M,B,33,34
300,2018-01-01,M,B,29,30
301,2018-01-01,M,B,53,53
302,2018-01-01,M,W,21,22
303,2018-01-01,M,B,59,59
304,2018-01-01,M,W,49,49
305,2018-01-01,M,B,21,21
306,2018-01-01,M,W,25,25
307,2018-01-01,M,W,34,34
308,2018-01-01,M,W,50,50
309,2018-01-01,M,W,20,20
310,2018-01-01,M,B,63,63
311,2018-01-01,M,B,55,55
312,2018-01-01,M,B,34,34
313,2018-01-01,M,W,28,28
314,2018-01-01,M,W,31,31
315,2018-01-01,M,H,40,40
316,2018-01-01,M,W,61,62
317,2018-01-01,M,x,22,22
318,2018-01-01,M,B,28,28
319,2018-01-01,M,B,28,28
320,2018-01-01,M,B,41,41
321,2018-01-01,M,W,49,49
322,2018-01-01,M,W,23,23
323,2018-01-01,M,W,42,42
324,2018-01-01,M,B,33,34
325,2018-01-01,M,B,22,22
326,2018-01-01,M,W,27,27
327,2018-01-01,M,B,27,27
328,2018-01-01,M,B,41,41
329,2018-01-01,M,W,46,46
330,2018-01-01,M,B,46,47
331,2018-01-01,M,W,22,22
332,2018-01-01,M,B,38,39
333,2018-01-01,M,W,33,33
334,2018-01-01,M,B,36,36
335,2018-01-01,M,B,20,20
336,2018-01-01,M,W,19,19
337,2018-01-01,M,W,25,25
338,2018-01-01,M,W,34,34
339,2018-01-01,M,W,29,29
340,2018-01-01,M,W,52,53
341,2018-01-01,M,B,35,35
342,2018-01-01,M,B,35,35
343,2018-01-01,M,W,23,23
344,2018-01-01,M,B,41,41
345,2018-01-01,M,B,45,45
