Month,all,coal,gas,nuclear,hydro,wind,solar
Oct 2005,316397.92361,162436.79301,55940.88089,61235.597,18006.36026,1446.18982,
Sep 2005,350217.80051,171656.21549,73355.48269,66738.979,17363.68401,1468.34696,
Aug 2005,404940.68107,187573.75443,100786.65435,71381.55,21565.67882,1138.03152,
Jul 2005,402273.84646,186090.75719,96819.41031,71070.011,25956.84152,1420.94183,
Jun 2005,363671.63602,174866.99726,75635.49254,66144.275,26782.98993,1796.92435,
May 2005,315062.10994,153957.96154,54826.00402,62970.464,27278.51096,1746.42955,
Apr 2005,289562.39987,143083.23903,52016.28598,55484.01,23058.35863,1697.5037,
Mar 2005,317458.27645,163612.7005,51896.97271,61538.53,22936.06749,1560.62565,
Feb 2005,298500.31558,155818.01413,44912.61665,60946.934,21606.77394,966.48178,
Jan 2005,343121.45336,177013.90662,51337.62707,69828.239,24272.16485,1131.5685,
Dec 2004,341947.96342,176755.20145,51309.56547,68616.627,26210.71849,1172.00867,
Nov 2004,302101.2562,157435.99421,49693.03398,58940.863,20937.04438,932.203,
Oct 2004,312450.22288,157605.0954,57228.81399,62530.352,18862.7954,1028.87272,
Sep 2004,335622.19789,164252.92334,67853.99334,65932.057,20525.26137,1089.61523,
Aug 2004,368439.03706,178181.34259,77820.68835,71068.483,21591.96742,1050.71885,
Jul 2004,377331.69713,181491.82062,79290.02224,71975.04,23318.27953,1164.37009,
Jun 2004,345085.07883,167641.90627,64685.66904,67734.073,25252.34503,1397.20574,
May 2004,327380.26364,157016.37723,62021.80807,64917.412,24019.71812,1701.65148,
Apr 2004,290559.91417,141470.95622,51821.98826,58620.255,20887.97481,1294.8568,
Mar 2004,308812.09552,154288.41916,49801.1869,63285.116,22914.28123,1291.224,
Feb 2004,314279.90954,161503.09216,50319.87478,64101.949,20913.61671,1021.56897,
Jan 2004,346545.62699,180657.42054,48253.37213,70806.16,22983.30588,999.44521,
Dec 2003,331680.43,176291.473,44034.895,68611.699,24044.33,1104.881,
Nov 2003,297866.711,158223.194,45327.919,59600.02,19715.265,961.432,
Oct 2003,306740.933,159322.942,51824.169,60016.207,18428.423,897.161,
Sep 2003,323135.534,164910.002,59089.943,63583.645,18480.455,895.054,
Aug 2003,381816.319,185331.823,83249.694,69023.878,22972.03,815.429,
Jul 2003,374396.05,181852.318,76938.278,69652.754,24843.095,953.396,
Jun 2003,328693.698,162284.63,54452.951,64180.727,28586.3,1047.144,
